CO stands for	Commanding Officer.
COMMO stands for	Communications Officer.
RO stands for	Radio Officer.
CWO stands for	Communications Watch Officer.
PQS stands for	Personnel Qualification Standards.
SOP stands for	Standard Operating Procedure.
TPI stands for	Two-Person Integrity.
MSL stands for	Master Station Log.
Define MINIMIZE	Mandatory drastic reduction of normal message and telephone traffic so vital traffic is not delayed.
Who can impose MINIMIZE?	Chief of Naval Operations (CNO), fleet commanders in chief, and area coordinators.
ACP 131(F) is	Allied Communications Procedures 131 (Q & Z signals).
QSL means	Acknowledge receipt.
QRT means	Stop sending.
QRL means	I am busy; please do not interfere.
ZUG means	Negative (No).
ZUJ means	Stand by.
COMMPLAN (definition)	Specifies circuits/channels/facilities and policies/procedures; assigns comm tasks.
OPTASK COMMS used for	Developing ship COMMPLAN.
